WKT,Status,x,y,Block
"POINT (4.50512904313385 34.6579690898026)",Not Start,4.5051290430,34.6579690800,G1
"POINT (4.50512458337673 34.6580229948763)",Not Start,4.5051245830,34.6580229900,G1
"POINT (4.50512012462825 34.658076890001)",Not Start,4.5051201240,34.6580768900,G1
"POINT (4.50511505456787 34.6581397893856)",Not Start,4.5051150540,34.6581397800,G1
"POINT (4.50510988501745 34.658202678684)",Not Start,4.5051098850,34.6582026700,G1
"POINT (4.50510471647567 34.6582655580333)",Not Start,4.5051047160,34.6582655500,G1
"POINT (4.50509954692525 34.6583284473317)",Not Start,4.5050995460,34.6583284400,G1
"POINT (4.50509437737484 34.6583913366301)",Not Start,4.5050943770,34.6583913300,G1
"POINT (4.50508920782442 34.6584542259284)",Not Start,4.5050892070,34.6584542200,G1
"POINT (4.50508413877267 34.658517115364)",Not Start,4.5050841380,34.6585171100,G1
"POINT (4.50507896922224 34.6585800046624)",Not Start,4.5050789690,34.6585800000,G1
"POINT (4.50507450946513 34.6586339097361)",Not Start,4.5050745090,34.6586339000,G1
"POINT (4.5050701502067 34.658687814947)",Not Start,4.5050701500,34.6586878100,G1
"POINT (4.50506569044958 34.6587417200207)",Not Start,4.5050656900,34.6587417200,G1
"POINT (4.50506191389736 34.6587878945813)",Not Start,4.5050619130,34.6587878900,G1
"POINT (4.50505700897143 34.6588471822032)",Not Start,4.5050570090,34.6588471800,G1
"POINT (4.50505112962772 34.6589190557262)",Not Start,4.5050511290,34.6589190500,G1
"POINT (4.50504515849891 34.6589918346086)",Not Start,4.5050451580,34.6589918300,G1
"POINT (4.50503918837872 34.659064603542)",Not Start,4.5050391880,34.6590646000,G1
"POINT (4.50503330903501 34.6591364770651)",Not Start,4.5050333090,34.6591364700,G1
"POINT (4.5050274296913 34.6592083505881)",Not Start,4.5050274290,34.6592083500,G1
"POINT (4.50502145957112 34.6592811195215)",Not Start,4.5050214590,34.6592811100,G1
"POINT (4.5050154894509 34.6593538884549)",Not Start,4.5050154890,34.6593538800,G1
"POINT (4.5050096101072 34.6594257619779)",Not Start,4.5050096100,34.6594257600,G1
"POINT (4.50500373076348 34.659497635501)",Not Start,4.5050037300,34.6594976300,G1
"POINT (4.50499892532761 34.6595569332091)",Not Start,4.5049989250,34.6595569300,G1
"POINT (4.50499514776677 34.6596031177188)",Not Start,4.5049951470,34.6596031100,G1
"POINT (4.50499068901828 34.6596570128434)",Not Start,4.5049906890,34.6596570100,G1
"POINT (4.50498622926116 34.6597109179171)",Not Start,4.5049862290,34.6597109100,G1
"POINT (4.50498115920079 34.6597738173017)",Not Start,4.5049811590,34.6597738100,G1
"POINT (4.50497599065899 34.6598366966511)",Not Start,4.5049759900,34.6598366900,G1
